Price,Area,Floor,Bedroom,Restroom,Roadfrontage,Legal,Lat,Long
1.75,48.0,2.0,2.0,2.0,1,1,10.7220335,106.62949387003158
4.5,52.0,3.0,2.0,1.0,0,1,10.861410750000001,106.66420925636413
5.6,42.0,,2.0,2.0,0,1,10.778752650000001,106.6870307478091
4.9,120.0,,10.0,10.0,0,1,10.861410750000001,106.66420925636413
16.86,200.0,,,,0,1,10.7500035,106.51488582967849
15.2,43.0,7.0,3.0,4.0,1,1,10.7726536,106.66821544343898
9.7,70.0,6.0,3.0,4.0,1,1,10.8352833,106.67406562042235
7.3,56.0,4.0,4.0,5.0,0,1,10.7705525,106.59952282588061
0.695,56.0,,3.0,3.0,1,0,10.878345,106.57635314823773
3.65,40.0,3.0,2.0,2.0,0,1,10.8352833,106.67406562042235
3.2,27.0,3.0,,,0,0,10.7705525,106.59952282588061
6.0,55.0,4.0,6.0,5.0,0,1,10.75575695,106.66747459440559
1.8,32.0,2.0,2.0,2.0,0,1,10.737754800000001,106.72971280655217
8.2,85.0,4.0,4.0,4.0,0,1,10.8352833,106.67406562042235
15.5,70.0,3.0,4.0,4.0,1,1,10.79159445,106.62785362180159
3.85,78.0,1.0,,,1,1,10.8311346,106.7715507
4.5,26.0,5.0,4.0,4.0,0,0,10.75575695,106.66747459440559
5.6,,3.0,4.0,,0,0,10.778752650000001,106.6870307478091
6.4,58.0,6.0,4.0,5.0,1,1,10.861410750000001,106.66420925636413
7.5,62.0,5.0,4.0,4.0,0,1,10.8352833,106.67406562042235
5.3,56.0,3.0,3.0,3.0,0,0,10.79159445,106.62785362180159
6.5,88.0,2.0,3.0,2.0,1,1,10.8311346,106.7715507
6.5,60.0,,2.0,3.0,0,1,10.8121855,106.70404172557386
1.5,45.0,3.0,4.0,4.0,0,0,10.7763897,106.7011391
2.0,130.0,2.0,,,0,1,10.7220335,106.62949387003158
1.85,33.0,2.0,2.0,2.0,0,0,10.8030656,106.65227606400094
2.43,8.0,2.0,2.0,2.0,0,1,10.737754800000001,106.72971280655217
5.95,50.0,3.0,4.0,4.0,0,1,10.8030656,106.65227606400094
6.9,56.0,,,,0,0,10.8030656,106.65227606400094
5.85,76.0,3.0,,3.0,1,1,10.8121855,106.70404172557386
1.35,76.0,3.0,4.0,5.0,1,1,10.8030656,106.65227606400094
2.7,58.0,,2.0,2.0,1,1,10.7705525,106.59952282588061
3.0,17.0,4.0,2.0,3.0,1,1,10.77526035,106.69957286491969
1.55,40.0,2.0,2.0,2.0,0,1,10.8352833,106.67406562042235
6.9,52.0,4.0,8.0,3.0,0,0,10.8352833,106.67406562042235
5.51,63.0,2.0,4.0,,0,1,10.8010732,106.6798916250364
5.8,85.0,3.0,3.0,,0,1,10.7763897,106.7011391
12.6,95.0,6.0,13.0,14.0,1,0,10.8352833,106.67406562042235
9.7,60.0,6.0,5.0,5.0,0,1,10.8030656,106.65227606400094
450.0,45.0,2.0,2.0,2.0,0,1,10.878345,106.57635314823773
7.9,62.0,,,,0,0,10.8030656,106.65227606400094
3.2,34.0,4.0,8.0,,0,1,10.7705525,106.59952282588061
14.0,60.0,4.0,3.0,3.0,0,1,10.8352833,106.67406562042235
1.75,40.0,2.0,2.0,2.0,0,1,10.778752650000001,106.6870307478091
7.3,64.0,,4.0,5.0,1,0,10.7705525,106.59952282588061
7.5,55.0,3.0,4.0,3.0,1,1,10.737754800000001,106.72971280655217
3.0,34.0,3.0,4.0,4.0,1,0,10.8352833,106.67406562042235
2.8,200.0,4.0,5.0,4.0,1,1,10.7705525,106.59952282588061
5.25,28.0,4.0,3.0,3.0,0,1,10.75575695,106.66747459440559
19.95,210.0,,,,0,1,10.8121855,106.70404172557386
1.4,68.0,,,,1,0,10.878345,106.57635314823773
5.5,85.0,2.0,4.0,4.0,0,1,10.8298295,106.7617899
0.55,40.0,,2.0,3.0,1,1,10.878345,106.57635314823773
8.8,82.0,2.0,2.0,2.0,1,1,10.8311346,106.7715507
7.0,100.0,1.0,2.0,1.0,0,0,10.878345,106.57635314823773
4.8,65.0,4.0,6.0,4.0,0,1,10.861410750000001,106.66420925636413
6.78,60.0,4.0,3.0,2.0,0,0,10.7726536,106.66821544343898
8.5,72.0,5.0,,4.0,0,1,10.8030656,106.65227606400094
9.4,60.0,3.0,4.0,4.0,0,0,10.8010732,106.6798916250364
3.0,100.0,3.0,3.0,3.0,1,0,10.861410750000001,106.66420925636413
2.2,12.0,,2.0,2.0,0,1,10.8030656,106.65227606400094
4.8,60.0,3.0,2.0,2.0,1,1,10.8352833,106.67406562042235
10.5,80.0,6.0,7.0,7.0,0,0,10.8030656,106.65227606400094
8.7,56.0,4.0,4.0,4.0,0,0,10.8010732,106.6798916250364
4.4,35.0,3.0,2.0,2.0,0,1,10.8121855,106.70404172557386
11.4,85.0,3.0,4.0,4.0,1,1,10.8298295,106.7617899
8.0,192.0,,3.0,2.0,1,1,10.8298295,106.7617899
7.58,54.0,6.0,5.0,7.0,0,1,10.8352833,106.67406562042235
7.8,60.0,3.0,4.0,5.0,0,1,10.79159445,106.62785362180159
5.0,74.0,3.0,4.0,3.0,0,1,10.79159445,106.62785362180159
2.35,48.0,2.0,2.0,2.0,1,1,10.7220335,106.62949387003158
6.5,48.0,6.0,,,0,1,10.8121855,106.70404172557386
10.0,3.0,,,,0,1,10.7763897,106.7011391
3.0,33.0,2.0,2.0,2.0,0,1,10.79159445,106.62785362180159
19.0,226.0,4.0,3.0,3.0,1,1,10.8298295,106.7617899
5.65,97.0,3.0,,,0,1,10.8298295,106.7617899
3.0,27.0,4.0,2.0,2.0,1,1,10.79159445,106.62785362180159
6.4,60.0,3.0,4.0,4.0,0,0,10.79159445,106.62785362180159
8.8,112.0,5.0,5.0,5.0,1,0,10.8121855,106.70404172557386
2.3,16.0,4.0,2.0,2.0,0,1,10.745868250000001,106.63910717557408
4.0,60.0,3.0,2.0,2.0,0,1,10.861410750000001,106.66420925636413
10.0,76.0,6.0,4.0,,0,1,10.7763897,106.7011391
6.8,54.0,4.0,5.0,4.0,1,1,10.8030656,106.65227606400094
3.65,50.0,3.0,2.0,,0,1,10.7763897,106.7011391
4.5,31.0,3.0,2.0,2.0,1,1,10.778752650000001,106.6870307478091
7.35,88.0,3.0,5.0,3.0,1,1,10.7763897,106.7011391
6.5,56.0,5.0,5.0,5.0,0,1,10.79159445,106.62785362180159
5.7,55.0,1.0,2.0,2.0,1,1,10.8030656,106.65227606400094
11.6,119.0,4.0,6.0,6.0,0,0,10.8352833,106.67406562042235
11.0,153.0,3.0,4.0,4.0,1,1,10.8298295,106.7617899
335.0,32.0,3.0,4.0,3.0,1,1,10.7705525,106.59952282588061
1.85,48.0,2.0,2.0,2.0,0,1,10.7220335,106.62949387003158
6.7,96.0,4.0,4.0,,0,1,10.7763897,106.7011391
82.0,382.0,,1.0,1.0,0,1,10.8352833,106.67406562042235
12.0,48.0,5.0,4.0,3.0,0,1,10.7726536,106.66821544343898
12.99,114.0,3.0,,12.0,0,1,10.8121855,106.70404172557386
8.9,54.0,4.0,3.0,4.0,0,1,10.8030656,106.65227606400094
