,Price,Area,Floor,Bedroom,Restroom,Roadfrontage,Legal,Lat,Long
2207,3.1,30.0,2.0,2.0,2.0,0.0,1.0,10.7659529,106.6475594370616
2208,2.95,30.0,3.0,2.0,2.2866691340377634,1.0,1.0,10.8352833,106.67406562042235
2209,4.1,48.0,3.0,2.0,2.0,0.0,1.0,10.8121855,106.70404172557386
2210,8.0,52.0,5.0,4.0,3.0,0.0,0.0,10.8352833,106.67406562042235
2211,3.2,20.0,3.0,2.0,3.0,1.0,1.0,10.77875265,106.6870307478091
2212,4.4,60.0,2.0,5.0,2.0,0.0,1.0,10.7763897,106.7011391
2213,6.0,61.0,4.0,3.0,3.724947578741244,0.0,1.0,10.8298295,106.7617899
2214,5.5,44.0,4.0,3.0,2.0,0.0,0.0,10.8121855,106.70404172557386
2215,3.3,65.0,1.8174791085791804,2.0,1.988401888531731,0.0,1.0,10.8298295,106.7617899
2216,4.0,60.0,2.0,3.0,2.0,0.0,1.0,10.8311346,106.7715507
2217,4.4,48.0,2.0,2.0,2.0,0.0,1.0,10.79159445,106.6278536218016
2218,5.38,5.0,3.0,4.0,3.0,0.0,1.0,10.8311346,106.7715507
2219,5.3,92.0,2.0,3.7095603403867576,2.4937422216539744,0.0,0.0,10.7705525,106.5995228258806
2220,2.85,38.0,3.0,4.0,2.0,0.0,1.0,10.7705525,106.5995228258806
2221,2.5,28.0,2.0,2.3333438151392385,1.943836559036507,0.0,0.0,10.7705525,106.5995228258806
2222,4.4,48.0,2.0,2.0,2.0,0.0,0.0,10.79159445,106.6278536218016
2223,5.8,48.0,3.0,3.0,3.0,0.0,0.0,10.79159445,106.6278536218016
2224,6.3,145.0,4.0,7.0,4.567119678277025,1.0,1.0,10.8298295,106.7617899
2225,8.2,46.0,3.9661167256204166,4.0,4.0,0.0,0.0,10.8010732,106.6798916250364
2226,4.95,40.0,2.0,3.0,2.0,0.0,1.0,10.77526035,106.69957286491967
2228,7.0,90.0,3.6190610857905376,2.0,2.0,1.0,0.0,10.8121855,106.70404172557386
2229,6.2,53.44089990897586,2.586437153527912,3.445433282096385,3.445433282096385,0.0,0.0,10.7659529,106.6475594370616
2230,5.5,36.0,5.0,2.0,2.0,0.0,1.0,10.8121855,106.70404172557386
2231,9.6,54.0,3.0,4.0,4.0,1.0,0.0,10.7220335,106.62949387003158
2232,2.95,40.0,3.0,2.0,2.0,0.0,1.0,10.86141075,106.66420925636412
2233,4.8,70.0,2.9987895189439295,3.0,3.0,0.0,0.0,10.8352833,106.67406562042235
2234,5.7,43.0,3.0,3.0,4.0,0.0,0.0,10.8010732,106.6798916250364
2235,14.96,176.0,4.0,4.0,3.0,1.0,0.0,10.8352833,106.67406562042235
2236,2.64,48.0,2.3590487438374668,2.0,2.0,0.0,1.0,10.7705525,106.5995228258806
2237,3.9,30.0,4.0,3.0,3.0,0.0,1.0,10.8030656,106.65227606400094
2238,3.2,80.0,2.0,3.0,2.0,0.0,1.0,10.7705525,106.5995228258806
2239,5.2,49.0,2.0,2.0,2.0,0.0,0.0,10.8352833,106.67406562042235
2240,13.9,91.0,4.0,5.0,7.0,0.0,1.0,10.8121855,106.70404172557386
2241,5.85,43.0,3.62337534435724,5.0,4.0,0.0,1.0,10.8010732,106.6798916250364
2243,9.5,66.0,3.0,5.0,4.0,1.0,0.0,10.7377548,106.72971280655216
2244,6.5,66.0,4.0,3.0,4.0,0.0,1.0,10.8352833,106.67406562042235
2245,7.5,68.0,3.0,2.0,2.0,1.0,1.0,10.8352833,106.67406562042235
2246,5.0,50.0,5.0,4.0,4.0,0.0,1.0,10.8030656,106.65227606400094
2247,4.6,40.0,3.0,2.0,2.0,0.0,1.0,10.7377548,106.72971280655216
2248,7.0,5.0,2.0,3.0,2.0,1.0,1.0,10.7377548,106.72971280655216
2249,6.45,52.0,3.0,4.0,3.933536157051999,0.0,0.0,10.7705525,106.5995228258806
2250,7.5,90.0,2.756506068222966,4.333101675005651,2.8234726622104382,0.0,1.0,10.8030656,106.65227606400094
2253,4.75,32.0,2.0,2.0,2.0,0.0,0.0,10.7763897,106.7011391
2254,4.95,94.0,2.0,3.0,3.0,1.0,1.0,10.7763897,106.7011391
2255,5.8,91.0,4.0,4.018754091299855,3.635781719975929,0.0,1.0,10.7705525,106.5995228258806
2256,5.3,55.0,2.0,2.060286546785244,1.6046366105671013,0.0,1.0,10.8121855,106.70404172557386
2257,9.79,53.0,4.090631619824928,2.0,2.0,0.0,1.0,10.7726536,106.66821544343898
2258,4.98,115.0,3.0,3.6178825512237416,2.0,1.0,0.0,10.8298295,106.7617899
2260,5.55,58.0,3.0,4.0,4.666355290630312,0.0,0.0,10.7705525,106.5995228258806
2262,0.62,45.0,2.0,2.0,2.0,1.0,1.0,10.7763897,106.7011391
2263,2.9,42.0,2.0,1.0,1.0,0.0,1.0,10.8121855,106.70404172557386
2264,3.7,30.0,2.0,2.0,2.0,0.0,1.0,10.7763897,106.7011391
2265,8.8,53.0,5.0,5.0,6.0,0.0,0.0,10.7763897,106.7011391
2266,4.65,32.0,3.0,2.9664019165918996,1.7442082295378032,0.0,0.0,10.7705525,106.5995228258806
2267,7.5,70.0,3.0,2.0,2.0,0.0,1.0,10.7763897,106.7011391
2269,4.95,52.0,3.0,3.0,2.0,0.0,1.0,10.79159445,106.6278536218016
2270,9.3,60.0,2.0,2.0,3.0,1.0,0.0,10.8010732,106.6798916250364
2272,3.78,25.0,3.0,2.0,2.0,0.0,0.0,10.8352833,106.67406562042235
2273,6.2,43.0,2.0,2.0,2.0,1.0,1.0,10.7377548,106.72971280655216
2274,3.8,33.0,4.0,4.0,4.0,0.0,1.0,10.8030656,106.65227606400094
2275,8.1,45.0,3.0,5.0,5.327116781502192,0.0,1.0,10.7763897,106.7011391
2276,6.0,70.0,3.0,3.0,3.0,1.0,1.0,10.86141075,106.66420925636412
2277,4.1,60.0,3.248664654537042,2.0,2.0,0.0,1.0,10.79159445,106.6278536218016
2278,6.3,56.0,3.0,3.0,4.0,0.0,0.0,10.8010732,106.6798916250364
2279,4.1,56.0,3.0,2.0,2.734171077468461,0.0,1.0,10.7705525,106.5995228258806
2280,7.3,52.0,3.2211953854768387,5.0,2.0,0.0,1.0,10.86141075,106.66420925636412
2281,4.7,23.0,3.0,3.0,3.0,0.0,1.0,10.8030656,106.65227606400094
2282,3.4,27.0,4.0,3.0,3.0,0.0,1.0,10.7726536,106.66821544343898
2283,3.98,40.0,2.0,2.0,2.0,0.0,0.0,10.8352833,106.67406562042235
2284,7.5,75.0,3.0,4.0,3.0,0.0,1.0,10.8298295,106.7617899
