,Price,Area,Floor,Bedroom,Restroom,Roadfrontage,Legal,Lat,Long
135,3.65,40.0,3.0,2.0,2.0,0,1,10.8352833,106.67406562042235
136,3.2,27.0,3.0,,,0,0,10.7705525,106.5995228258806
137,6.0,55.0,4.0,6.0,5.0,0,1,10.75575695,106.6674745944056
138,1.8,32.0,2.0,2.0,2.0,0,1,10.7377548,106.72971280655216
139,8.2,85.0,4.0,4.0,4.0,0,1,10.8352833,106.67406562042235
141,3.85,78.0,1.0,,,1,1,10.8311346,106.7715507
142,4.5,26.0,5.0,4.0,4.0,0,0,10.75575695,106.6674745944056
143,5.6,,3.0,4.0,,0,0,10.77875265,106.6870307478091
144,6.4,58.0,6.0,4.0,5.0,1,1,10.86141075,106.66420925636412
145,7.5,62.0,5.0,4.0,4.0,0,1,10.8352833,106.67406562042235
146,5.3,56.0,3.0,3.0,3.0,0,0,10.79159445,106.6278536218016
147,6.5,88.0,2.0,3.0,2.0,1,1,10.8311346,106.7715507
148,6.5,60.0,,2.0,3.0,0,1,10.8121855,106.70404172557386
149,1.5,45.0,3.0,4.0,4.0,0,0,10.7763897,106.7011391
150,2.0,130.0,2.0,,,0,1,10.7220335,106.62949387003158
151,1.85,33.0,2.0,2.0,2.0,0,0,10.8030656,106.65227606400094
152,2.43,8.0,2.0,2.0,2.0,0,1,10.7377548,106.72971280655216
153,5.95,50.0,3.0,4.0,4.0,0,1,10.8030656,106.65227606400094
154,6.9,56.0,,,,0,0,10.8030656,106.65227606400094
155,5.85,76.0,3.0,,3.0,1,1,10.8121855,106.70404172557386
156,1.35,76.0,3.0,4.0,5.0,1,1,10.8030656,106.65227606400094
157,2.7,58.0,,2.0,2.0,1,1,10.7705525,106.5995228258806
158,3.0,17.0,4.0,2.0,3.0,1,1,10.77526035,106.69957286491967
159,1.55,40.0,2.0,2.0,2.0,0,1,10.8352833,106.67406562042235
161,5.51,63.0,2.0,4.0,,0,1,10.8010732,106.6798916250364
162,5.8,85.0,3.0,3.0,,0,1,10.7763897,106.7011391
164,9.7,60.0,6.0,5.0,5.0,0,1,10.8030656,106.65227606400094
166,7.9,62.0,,,,0,0,10.8030656,106.65227606400094
168,14.0,60.0,4.0,3.0,3.0,0,1,10.8352833,106.67406562042235
169,1.75,40.0,2.0,2.0,2.0,0,1,10.77875265,106.6870307478091
170,7.3,64.0,,4.0,5.0,1,0,10.7705525,106.5995228258806
171,7.5,55.0,3.0,4.0,3.0,1,1,10.7377548,106.72971280655216
172,3.0,34.0,3.0,4.0,4.0,1,0,10.8352833,106.67406562042235
174,5.25,28.0,4.0,3.0,3.0,0,1,10.75575695,106.6674745944056
176,1.4,68.0,,,,1,0,10.878345,106.57635314823771
177,5.5,85.0,2.0,4.0,4.0,0,1,10.8298295,106.7617899
178,0.55,40.0,,2.0,3.0,1,1,10.878345,106.57635314823771
179,8.8,82.0,2.0,2.0,2.0,1,1,10.8311346,106.7715507
180,7.0,100.0,1.0,2.0,1.0,0,0,10.878345,106.57635314823771
181,4.8,65.0,4.0,6.0,4.0,0,1,10.86141075,106.66420925636412
182,6.78,60.0,4.0,3.0,2.0,0,0,10.7726536,106.66821544343898
183,8.5,72.0,5.0,,4.0,0,1,10.8030656,106.65227606400094
184,9.4,60.0,3.0,4.0,4.0,0,0,10.8010732,106.6798916250364
185,3.0,100.0,3.0,3.0,3.0,1,0,10.86141075,106.66420925636412
186,2.2,12.0,,2.0,2.0,0,1,10.8030656,106.65227606400094
187,4.8,60.0,3.0,2.0,2.0,1,1,10.8352833,106.67406562042235
188,10.5,80.0,6.0,7.0,7.0,0,0,10.8030656,106.65227606400094
189,8.7,56.0,4.0,4.0,4.0,0,0,10.8010732,106.6798916250364
190,4.4,35.0,3.0,2.0,2.0,0,1,10.8121855,106.70404172557386
191,11.4,85.0,3.0,4.0,4.0,1,1,10.8298295,106.7617899
192,8.0,192.0,,3.0,2.0,1,1,10.8298295,106.7617899
193,7.58,54.0,6.0,5.0,7.0,0,1,10.8352833,106.67406562042235
194,7.8,60.0,3.0,4.0,5.0,0,1,10.79159445,106.6278536218016
195,5.0,74.0,3.0,4.0,3.0,0,1,10.79159445,106.6278536218016
196,2.35,48.0,2.0,2.0,2.0,1,1,10.7220335,106.62949387003158
197,6.5,48.0,6.0,,,0,1,10.8121855,106.70404172557386
198,10.0,3.0,,,,0,1,10.7763897,106.7011391
199,3.0,33.0,2.0,2.0,2.0,0,1,10.79159445,106.6278536218016
201,5.65,97.0,3.0,,,0,1,10.8298295,106.7617899
202,3.0,27.0,4.0,2.0,2.0,1,1,10.79159445,106.6278536218016
203,6.4,60.0,3.0,4.0,4.0,0,0,10.79159445,106.6278536218016
204,8.8,112.0,5.0,5.0,5.0,1,0,10.8121855,106.70404172557386
205,2.3,16.0,4.0,2.0,2.0,0,1,10.74586825,106.63910717557408
206,4.0,60.0,3.0,2.0,2.0,0,1,10.86141075,106.66420925636412
207,10.0,76.0,6.0,4.0,,0,1,10.7763897,106.7011391
208,6.8,54.0,4.0,5.0,4.0,1,1,10.8030656,106.65227606400094
209,3.65,50.0,3.0,2.0,,0,1,10.7763897,106.7011391
210,4.5,31.0,3.0,2.0,2.0,1,1,10.77875265,106.6870307478091
211,7.35,88.0,3.0,5.0,3.0,1,1,10.7763897,106.7011391
212,6.5,56.0,5.0,5.0,5.0,0,1,10.79159445,106.6278536218016
213,5.7,55.0,1.0,2.0,2.0,1,1,10.8030656,106.65227606400094
214,11.6,119.0,4.0,6.0,6.0,0,0,10.8352833,106.67406562042235
215,11.0,153.0,3.0,4.0,4.0,1,1,10.8298295,106.7617899
217,1.85,48.0,2.0,2.0,2.0,0,1,10.7220335,106.62949387003158
218,6.7,96.0,4.0,4.0,,0,1,10.7763897,106.7011391
220,12.0,48.0,5.0,4.0,3.0,0,1,10.7726536,106.66821544343898
222,8.9,54.0,4.0,3.0,4.0,0,1,10.8030656,106.65227606400094
224,4.6,33.0,,2.0,2.0,0,0,10.8010732,106.6798916250364
225,5.0,78.0,2.0,2.0,2.0,1,0,10.7733621,106.7597722
226,3.0,21.0,4.0,4.0,4.0,0,0,10.7377548,106.72971280655216
227,2.88,40.0,3.0,4.0,3.0,0,1,10.7705525,106.5995228258806
230,2.0,60.0,1.0,,,0,1,10.8298295,106.7617899
231,5.3,70.0,3.0,4.0,3.0,0,1,10.7377548,106.72971280655216
232,5.4,48.0,2.0,2.0,2.0,0,0,10.8010732,106.6798916250364
233,1.55,42.0,2.0,2.0,2.0,0,1,10.8352833,106.67406562042235
234,6.9,77.0,3.0,3.0,3.0,0,0,10.8352833,106.67406562042235
235,3.0,50.0,3.0,,3.0,1,1,10.8298295,106.7617899
236,7.9,63.0,3.0,2.0,2.0,0,0,10.8121855,106.70404172557386
237,5.4,60.0,4.0,3.0,2.0,0,1,10.8298295,106.7617899
238,7.3,46.0,3.0,6.0,9.0,0,1,10.8010732,106.6798916250364
240,3.99,60.0,,3.0,2.0,1,0,10.8352833,106.67406562042235
241,15.0,90.0,5.0,7.0,,1,1,10.8298295,106.7617899
242,2.15,48.0,2.0,2.0,2.0,1,1,10.7220335,106.62949387003158
243,5.1,43.0,3.0,3.0,4.0,0,0,10.8010732,106.6798916250364
244,4.5,49.0,2.0,2.0,2.0,0,0,10.8030656,106.65227606400094
245,5.8,62.0,4.0,4.0,4.0,0,1,10.79159445,106.6278536218016
248,3.8,62.0,6.0,3.0,3.0,0,1,10.7607295,106.70710890359896
249,2.85,27.0,3.0,2.0,2.0,1,1,10.8030656,106.65227606400094
250,4.4,110.0,2.0,2.0,2.0,1,1,10.7705525,106.5995228258806
251,6.6,48.0,5.0,4.0,5.0,0,1,10.8352833,106.67406562042235
252,13.5,84.0,6.0,5.0,6.0,1,1,10.8352833,106.67406562042235
253,4.99,56.0,2.0,2.0,3.0,1,0,10.79159445,106.6278536218016
254,5.6,105.0,,2.0,2.0,1,1,10.86141075,106.66420925636412
255,8.8,123.0,4.0,3.0,3.0,0,1,10.8352833,106.67406562042235
256,0.45,52.0,2.0,6.0,2.0,0,1,10.7763897,106.7011391
257,2.95,45.0,3.0,2.0,,0,1,10.8298295,106.7617899
258,6.4,50.0,5.0,,,1,1,10.8121855,106.70404172557386
259,6.5,60.0,5.0,6.0,4.0,0,1,10.8030656,106.65227606400094
262,5.25,70.0,3.0,4.0,4.0,1,1,10.8298295,106.7617899
263,2.8,17.0,5.0,6.0,4.0,0,1,10.8030656,106.65227606400094
264,6.0,60.0,4.0,4.0,4.0,1,0,10.8030656,106.65227606400094
265,10.0,65.0,4.0,6.0,,0,1,10.77875265,106.6870307478091
266,4.7,113.0,,4.0,2.0,0,1,10.7705525,106.5995228258806
267,5.5,56.0,2.0,3.0,3.0,0,0,10.8352833,106.67406562042235
268,4.9,40.0,3.0,3.0,3.0,0,0,10.79159445,106.6278536218016
269,1.5,132.0,4.0,4.0,,0,1,10.7763897,106.7011391
270,9.99,72.0,3.0,7.0,8.0,0,1,10.8030656,106.65227606400094
