Price,Area,Floor,Bedroom,Restroom,Address,Roadfrontage,Legal
6.1,48.0,2.0,2.0,2.0,"Phú Nhuận, Thành phố Hồ Chí Minh",False,
2.85,24.0,2.0,2.0,2.0,"Gò Vấp, Thành phố Hồ Chí Minh",False,
6.0,60.0,4.0,,,"Tân Phú, Thành phố Hồ Chí Minh",True,Good
8.8,75.0,3.0,4.0,5.0,"Gò Vấp, Thành phố Hồ Chí Minh",False,
2.7,30.0,3.0,2.0,2.0,"Tân Phú, Thành phố Hồ Chí Minh",False,Good
7.3,44.0,6.0,5.0,5.0,Thành phố Hồ Chí Minh,False,
21.5,190.0,4.0,8.0,6.0,"Gò Vấp, Thành phố Hồ Chí Minh",True,
5.6,50.0,4.0,3.0,2.0,"Tân Bình, Thành phố Hồ Chí Minh",False,Good
9.0,52.0,3.0,3.0,3.0,"Quận 11, Thành phố Hồ Chí Minh",False,Good
8.0,85.0,4.0,5.0,6.0,"Gò Vấp, Thành phố Hồ Chí Minh",False,
22.0,200.0,3.0,4.0,4.0,"Quận 9, Thành phố Hồ Chí Minh",True,
1.55,48.0,2.0,2.0,2.0,"Quận 8, Thành phố Hồ Chí Minh",True,Good
1.7,36.0,2.0,2.0,2.0,"Gò Vấp, Thành phố Hồ Chí Minh",False,Good
4.0,54.0,3.0,3.0,2.0,"Bình Tân, Thành phố Hồ Chí Minh",False,
7.7,104.0,4.0,11.0,,"Bình Tân, Thành phố Hồ Chí Minh",False,
5.8,61.0,4.0,2.0,3.0,"Tân Bình, Thành phố Hồ Chí Minh",True,Good
5.65,38.0,5.0,3.0,4.0,"Quận 10, Thành phố Hồ Chí Minh",True,Good
4.8,42.0,2.0,2.0,3.0,"Gò Vấp, Thành phố Hồ Chí Minh",False,Good
16.7,100.0,8.0,2.0,,"Quận 10, Thành phố Hồ Chí Minh",False,Good
0.0070999999999999995,5.0,3.0,2.0,3.0,"Tân Phú, Thành phố Hồ Chí Minh",True,Good
